day_of_year,hour,consumption
24,10,0.26019743
24,11,0.263559208
24,12,0.264910106
24,13,0.265229784
24,14,0.259661196
24,15,0.255794121
24,16,0.258031868
24,17,0.260372738
24,18,0.257124395
24,19,0.256670658
24,20,0.24974086
24,21,0.232715417
24,22,0.216484015
24,23,0.202294427
25,0,0.190621017
25,1,0.184629629
25,2,0.181216291
25,3,0.1813091
25,4,0.185557727
25,5,0.195777117
25,6,0.223980984
25,7,0.243646349
25,8,0.254608218
25,9,0.26089866
25,10,0.261156465
25,11,0.264466681
25,12,0.265992887
25,13,0.265281345
25,14,0.259506513
25,15,0.256464414
25,16,0.259207459
25,17,0.261342085
25,18,0.257536883
25,19,0.255814745
25,20,0.248255903
25,21,0.233849759
25,22,0.217659605
25,23,0.203552516
26,0,0.191703798
26,1,0.186475513
26,2,0.182608438
26,3,0.183062174
26,4,0.187248928
26,5,0.196705215
26,6,0.224888458
26,7,0.245481921
26,8,0.254938208
26,9,0.261218338
26,10,0.261527704
26,11,0.265147286
26,12,0.264992603
26,13,0.265136974
26,14,0.259805567
26,15,0.256144736
26,16,0.258547478
26,17,0.261352397
26,18,0.257516258
26,19,0.25686659
26,20,0.250143035
26,21,0.234375682
26,22,0.218412396
26,23,0.203727823
27,0,0.192941262
27,1,0.186444576
27,2,0.183474662
27,3,0.183392165
27,4,0.186918937
27,5,0.196395849
27,6,0.223516935
27,7,0.243842281
27,8,0.253422315
27,9,0.25771219
27,10,0.25761938
27,11,0.261733948
27,12,0.261981441
27,13,0.261568953
27,14,0.256546912
27,15,0.25368012
27,16,0.255526004
27,17,0.258444356
27,18,0.254247291
27,19,0.252030168
27,20,0.243914467
27,21,0.229931123
27,22,0.215349673
27,23,0.201211646
28,0,0.190105407
28,1,0.183319979
28,2,0.17924666
28,3,0.178504182
28,4,0.177988572
28,5,0.180009763
28,6,0.189012314
28,7,0.196488659
28,8,0.21079168
28,9,0.224599716
28,10,0.230467358
28,11,0.233416647
28,12,0.232003876
28,13,0.231704822
28,14,0.226816839
28,15,0.221279188
28,16,0.222661022
28,17,0.227693376
28,18,0.22550719
28,19,0.22152668
28,20,0.215298112
